Tiempo,VAPM            :Mag,VBPM            :Mag,VCPM            :Mag,VSPM            :Mag,V1PM            :Mag,VAPM            :Ang,VBPM            :Ang,VCPM            :Ang,VSPM            :Ang,V1PM            :Ang,VAPM            :AngRefA,VBPM            :AngRefA,VCPM            :AngRefA,VSPM            :AngRefA,V1PM            :AngRefA,Frecuencia
05/23/18 10:17:55.0585,101.7100,101.0600,100.6400,0.0200,101.1300,-35.5578,-156.5378,84.2305,-17.6872,-35.9531,0.0000,-120.9800,119.7883,-17.6872,-0.3953,59.9940
05/23/18 10:17:56.0585,101.7800,101.2800,100.7400,0.0200,101.2700,-36.7552,-157.6035,83.0789,-24.4137,-37.0933,0.0000,-120.8483,119.8341,-24.4137,-0.3380,59.9960
05/23/18 10:17:56.0589,101.6800,101.2000,100.7400,0.0200,101.2100,-36.9214,-157.7124,82.9356,-17.2346,-37.2308,0.0000,-120.7910,119.8570,-17.2346,-0.3094,59.9930
05/23/18 10:17:56.0593,101.8400,101.3300,100.8200,0.0200,101.3300,-36.9844,-157.8040,82.8497,-23.8866,-37.3110,0.0000,-120.8196,119.8341,-23.8866,-0.3266,59.9970
05/23/18 10:17:56.0597,101.7200,101.1900,100.7700,0.0200,101.2200,-37.2308,-158.0103,82.6492,-21.4229,-37.5287,0.0000,-120.7795,119.8800,-21.4229,-0.2979,59.9940
05/23/18 10:17:56.0601,101.7200,101.1800,100.7800,0.0300,101.2200,-37.9928,-158.7551,81.8814,-22.2078,-38.2908,0.0000,-120.7623,119.8742,-22.2078,-0.2979,59.9740
05/23/18 10:17:56.0605,101.8300,101.3100,100.8300,0.0200,101.3200,-37.9642,-158.7723,81.8757,-20.6666,-38.2850,0.0000,-120.8082,119.8399,-20.6666,-0.3209,60.0010
05/23/18 10:17:56.0609,101.7400,101.2800,100.8200,0.0200,101.2800,-38.0673,-158.8525,81.7668,-25.5081,-38.3824,0.0000,-120.7852,119.8341,-25.5081,-0.3151,59.9970
05/23/18 10:17:56.0613,101.7600,101.2900,100.8100,0.0200,101.2900,-38.1418,-158.9213,81.6866,-25.5195,-38.4569,0.0000,-120.7795,119.8284,-25.5195,-0.3151,60.0010
05/23/18 10:17:56.0617,101.8800,101.3700,100.9200,0.0200,101.3900,-38.1189,-158.9041,81.7382,-25.1872,-38.4283,0.0000,-120.7852,119.8570,-25.1872,-0.3094,60.0030
05/23/18 10:17:56.0621,101.8000,101.3100,100.8600,0.0300,101.3200,-38.1819,-158.9557,81.6694,-25.3133,-38.4913,0.0000,-120.7738,119.8513,-25.3133,-0.3094,59.9970
05/23/18 10:17:57.0585,101.7700,101.3000,100.8300,0.0200,101.3000,-38.2106,-158.9786,81.6178,-21.1822,-38.5257,0.0000,-120.7680,119.8284,-21.1822,-0.3151,59.9970
05/23/18 10:17:57.0589,101.8200,101.3400,100.8900,0.0300,101.3500,-38.2048,-158.9901,81.6350,-19.1712,-38.5200,0.0000,-120.7852,119.8399,-19.1712,-0.3151,60.0010
05/23/18 10:17:57.0593,101.8000,101.3300,100.8900,0.0200,101.3400,-38.1819,-158.9614,81.6579,-22.9813,-38.4913,0.0000,-120.7795,119.8399,-22.9813,-0.3094,60.0000
05/23/18 10:17:57.0597,101.7200,101.2100,100.7100,0.0200,101.2100,-38.2392,-159.0531,81.5892,-32.3148,-38.5658,0.0000,-120.8139,119.8284,-32.3148,-0.3266,59.9990
05/23/18 10:17:57.0601,101.8200,101.3500,100.9800,0.0200,101.3800,-37.8782,-158.5947,81.9845,-22.7235,-38.1647,0.0000,-120.7165,119.8628,-22.7235,-0.2865,60.0220
05/23/18 10:17:57.0605,101.8900,101.4100,101.0000,0.0200,101.4300,-37.7006,-158.4515,82.1507,-18.5638,-37.9986,0.0000,-120.7509,119.8513,-18.5638,-0.2979,59.9950
05/23/18 10:17:57.0609,101.8900,101.3600,100.9100,0.0300,101.3900,-37.7178,-158.5202,82.1392,-28.6135,-38.0329,0.0000,-120.8024,119.8570,-28.6135,-0.3151,60.0010
